codigo,producto,cantidad,muestra_disponible,estado
ETE-I10793-EB,Teclado admouse con covertor acrilico,1,TRUE,Recibido
ETE-S10816-EB,Auriculares,3,FALSE,En camino - Demorado
ETE-I10817-EB,Mouse trackball,1,TRUE,Comprado
ETE-I10794-EB,Mouse Admouse,1,TRUE,Recibido
ETE-I10795-EB,Pulsador botón USB,1,TRUE,Recibido
ETE-I10818-EB,Banda elástica Bouncyband,1,TRUE,Recibido
ETE-I10819-EB,Patas de silla x4,1,TRUE,Recibido
ETE-I10820-EB,Auriculares de cancelación auditivo,1,FALSE,En camino - Demorado
ETE-I10821-EB,Pen reader,1,TRUE,Recibido
ETE-I10822-EB,Kit de accesorios lectura y escritura,,,
ETE-I10824-EB,Soporte para lápiz 1 - etapa 4,5,FALSE,En camino - Demorado
ETE-I10825-EB,Soporte para lápiz 2 - etapa 3,5,FALSE,En camino - Demorado
ETE-I10826-EB,Soporte para lápiz 3 - etapa 2,5,FALSE,En camino - Demorado
ETE-I10827-EB,Soporte para lápiz 4 - etapa 1,5,FALSE,En camino - Demorado
ETE-I10828-EB,Pesas para lapices,5,FALSE,En camino - Demorado
ETE-I10829-EB,Ayuda para la lectura - tamaño ajustable - etapa 1,3,TRUE,Comprado
ETE-I10830-EB,Ayuda para la lectura - Reglas de lectura guiada - etapa 3,6,FALSE,En camino - Demorado
ETE-I10831-EB,Ayuda para la lectura - Reglas de lectura transparente con renglón - etapa 4,10,FALSE,En camino - Demorado
ETE-I10833-EB,Sacapuntas para zurdos,1,TRUE,Recibido
ETE-I10834-EB,Lapicera para zurdos,1,TRUE,Recibido
ETE-I10857-EB,Kit de accesorios motricidad y autoregulación,,,
ETE-I10823-EB,Organizador de tareas personalizable,1,FALSE,En camino - Demorado
ETE-I10832-EB,Material sensorial de apriete SPEKS,2,TRUE,Recibido
ETE-I10835-EB,Tijera para zurdos,1,TRUE,Recibido
ETE-I10836-EB,Tijera adaptada - etapa 1,1,TRUE,En camino - Demorado
ETE-I10837-EB,Tijera adaptada - etapa 2,1,TRUE,Comprado
